"model","model_year","product_type","sales_transaction_date","total_daily_sales","cumulative_sales","model_and_year"
"Blade","2014","scooter","2014-08-02 08:00:24","559.9920000000001","15959.771999999997","Blade 2014"
"Blade","2014","scooter","2014-08-06 07:48:54","629.991","16589.763","Blade 2014"
"Blade","2014","scooter","2014-08-07 05:02:09","699.99","17289.753","Blade 2014"
"Blade","2014","scooter","2014-08-07 14:57:50","699.99","17989.743000000002","Blade 2014"
"Blade","2014","scooter","2014-08-12 22:10:01","629.991","18619.734000000004","Blade 2014"
"Blade","2014","scooter","2014-08-12 23:47:30","699.99","19319.724000000006","Blade 2014"
"Blade","2014","scooter","2014-08-13 20:03:47","699.99","20019.714000000007","Blade 2014"
"Blade","2014","scooter","2014-08-14 20:04:34","699.99","20719.70400000001","Blade 2014"
"Blade","2014","scooter","2014-08-16 13:50:08","559.9920000000001","21279.696000000007","Blade 2014"
"Blade","2014","scooter","2014-08-18 19:31:15","699.99","21979.68600000001","Blade 2014"
"Blade","2014","scooter","2014-08-19 20:14:56","699.99","22679.67600000001","Blade 2014"
"Blade","2014","scooter","2014-08-21 13:00:39","629.991","23309.66700000001","Blade 2014"
"Blade","2014","scooter","2014-08-22 00:03:58","559.9920000000001","23869.659000000007","Blade 2014"
"Blade","2014","scooter","2014-08-22 21:47:00","699.99","24569.64900000001","Blade 2014"
"Blade","2014","scooter","2014-08-24 04:20:07","559.9920000000001","25129.641000000007","Blade 2014"
"Blade","2014","scooter","2014-08-24 18:06:49","699.99","25829.63100000001","Blade 2014"
"Blade","2014","scooter","2014-08-24 22:40:53","699.99","26529.62100000001","Blade 2014"
"Blade","2014","scooter","2014-08-25 03:47:45","559.9920000000001","27089.61300000001","Blade 2014"
"Blade","2014","scooter","2014-08-30 01:12:36","699.99","27789.60300000001","Blade 2014"
"Blade","2014","scooter","2014-08-31 00:16:04","699.99","28489.59300000001","Blade 2014"
"Blade","2014","scooter","2014-08-31 11:53:56","559.9920000000001","29049.58500000001","Blade 2014"
"Blade","2014","scooter","2014-09-03 23:28:37","699.99","29749.57500000001","Blade 2014"
"Blade","2014","scooter","2014-09-09 12:25:58","699.99","30449.565000000013","Blade 2014"
"Blade","2014","scooter","2014-09-09 20:17:28","699.99","31149.555000000015","Blade 2014"
"Blade","2014","scooter","2014-09-10 19:43:00","559.9920000000001","31709.547000000013","Blade 2014"
"Blade","2014","scooter","2014-09-11 07:21:07","699.99","32409.537000000015","Blade 2014"
"Blade","2014","scooter","2014-09-11 19:00:55","559.9920000000001","32969.52900000002","Blade 2014"
"Blade","2014","scooter","2014-09-12 18:00:18","699.99","33669.519000000015","Blade 2014"
"Blade","2014","scooter","2014-09-13 05:03:11","699.99","34369.50900000001","Blade 2014"
"Blade","2014","scooter","2014-09-13 05:30:34","629.991","34999.500000000015","Blade 2014"
"Blade","2014","scooter","2014-09-13 08:56:27","629.991","35629.491000000016","Blade 2014"
"Blade","2014","scooter","2014-09-13 11:35:03","559.9920000000001","36189.483000000015","Blade 2014"
"Blade","2014","scooter","2014-09-14 17:25:29","699.99","36889.47300000001","Blade 2014"
"Blade","2014","scooter","2014-09-15 17:07:33","699.99","37589.46300000001","Blade 2014"
"Blade","2014","scooter","2014-09-16 21:06:42","559.9920000000001","38149.45500000001","Blade 2014"
"Blade","2014","scooter","2014-09-17 13:07:42","629.991","38779.44600000001","Blade 2014"
"Blade","2014","scooter","2014-09-17 14:51:07","699.99","39479.43600000001","Blade 2014"
"Blade","2014","scooter","2014-09-18 07:58:48","699.99","40179.42600000001","Blade 2014"
"Blade","2014","scooter","2014-09-18 12:31:09","629.991","40809.41700000001","Blade 2014"
"Blade","2014","scooter","2014-09-18 20:38:26","699.99","41509.40700000001","Blade 2014"
"Blade","2014","scooter","2014-09-19 11:52:06","629.991","42139.39800000001","Blade 2014"
"Blade","2014","scooter","2014-09-20 13:32:18","629.991","42769.38900000001","Blade 2014"
"Blade","2014","scooter","2014-09-20 17:48:18","629.991","43399.38000000001","Blade 2014"
"Blade","2014","scooter","2014-09-23 20:37:07","559.9920000000001","43959.37200000001","Blade 2014"
"Blade","2014","scooter","2014-09-24 01:55:22","699.99","44659.36200000001","Blade 2014"
"Blade","2014","scooter","2014-09-24 09:05:46","699.99","45359.352000000006","Blade 2014"
"Blade","2014","scooter","2014-09-26 06:04:41","699.99","46059.342000000004","Blade 2014"
"Blade","2014","scooter","2014-09-27 17:22:08","629.991","46689.333000000006","Blade 2014"
"Blade","2014","scooter","2014-09-28 09:00:23","699.99","47389.323000000004","Blade 2014"
"Blade","2014","scooter","2014-09-28 09:06:51","699.99","48089.313","Blade 2014"
"Blade","2014","scooter","2014-09-28 16:54:54","699.99","48789.303","Blade 2014"
"Blade","2014","scooter","2014-09-28 16:57:31","699.99","49489.293","Blade 2014"
"Blade","2014","scooter","2014-10-01 01:40:41","699.99","50189.282999999996","Blade 2014"
"Blade","2014","scooter","2014-10-02 04:39:42","559.9920000000001","50749.274999999994","Blade 2014"
"Blade","2014","scooter","2014-10-02 08:55:24","629.991","51379.265999999996","Blade 2014"
"Blade","2014","scooter","2014-10-03 00:22:40","629.991","52009.257","Blade 2014"
"Blade","2014","scooter","2014-10-03 06:27:51","629.991","52639.248","Blade 2014"
"Blade","2014","scooter","2014-10-05 15:14:06","699.99","53339.238","Blade 2014"
"Blade","2014","scooter","2014-10-06 08:47:40","699.99","54039.227999999996","Blade 2014"
"Blade","2014","scooter","2014-10-06 08:57:27","629.991","54669.219","Blade 2014"
"Blade","2014","scooter","2014-10-08 05:58:25","699.99","55369.208999999995","Blade 2014"
"Blade","2014","scooter","2014-10-08 11:55:05","559.9920000000001","55929.200999999994","Blade 2014"
"Blade","2014","scooter","2014-10-08 19:52:52","699.99","56629.19099999999","Blade 2014"
"Blade","2014","scooter","2014-10-10 22:44:02","699.99","57329.18099999999","Blade 2014"
"Blade","2014","scooter","2014-10-11 10:55:26","559.9920000000001","57889.17299999999","Blade 2014"
"Blade","2014","scooter","2014-10-12 19:28:16","699.99","58589.162999999986","Blade 2014"
"Blade","2014","scooter","2014-10-13 11:02:52","699.99","59289.152999999984","Blade 2014"
"Blade","2014","scooter","2014-10-14 02:50:55","699.99","59989.14299999998","Blade 2014"
"Blade","2014","scooter","2014-10-14 07:32:48","699.99","60689.13299999998","Blade 2014"
"Blade","2014","scooter","2014-10-15 02:16:28","629.991","61319.12399999998","Blade 2014"
"Blade","2014","scooter","2014-10-15 04:25:47","629.991","61949.11499999998","Blade 2014"
"Blade","2014","scooter","2014-10-16 03:10:02","629.991","62579.105999999985","Blade 2014"
"Blade","2014","scooter","2014-10-16 05:24:13","559.9920000000001","63139.09799999998","Blade 2014"
"Blade","2014","scooter","2014-10-17 20:47:54","629.991","63769.088999999985","Blade 2014"
"Blade","2014","scooter","2014-10-18 09:15:15","699.99","64469.07899999998","Blade 2014"
"Blade","2014","scooter","2014-10-18 14:29:57","699.99","65169.06899999998","Blade 2014"
"Blade","2014","scooter","2014-10-19 13:42:59","629.991","65799.05999999998","Blade 2014"
"Blade","2014","scooter","2014-10-20 21:17:24","629.991","66429.05099999998","Blade 2014"
"Blade","2014","scooter","2014-10-22 06:46:27","699.99","67129.04099999998","Blade 2014"
"Blade","2014","scooter","2014-10-22 15:15:00","699.99","67829.03099999999","Blade 2014"
"Blade","2014","scooter","2014-10-24 15:07:17","699.99","68529.021","Blade 2014"
"Blade","2014","scooter","2014-10-25 00:25:01","699.99","69229.011","Blade 2014"
"Blade","2014","scooter","2014-10-25 16:06:54","699.99","69929.001","Blade 2014"
"Blade","2014","scooter","2014-10-25 19:03:49","699.99","70628.99100000001","Blade 2014"
"Blade","2014","scooter","2014-10-25 20:51:55","699.99","71328.98100000001","Blade 2014"
"Blade","2014","scooter","2014-10-29 01:39:31","699.99","72028.97100000002","Blade 2014"
"Blade","2014","scooter","2014-10-29 17:44:07","629.991","72658.96200000001","Blade 2014"
"Blade","2014","scooter","2014-10-30 22:31:00","629.991","73288.95300000001","Blade 2014"
"Blade","2014","scooter","2014-10-31 15:42:54","699.99","73988.94300000001","Blade 2014"
"Blade","2014","scooter","2014-10-31 20:03:05","629.991","74618.93400000001","Blade 2014"
"Blade","2014","scooter","2014-11-02 23:57:45","699.99","75318.92400000001","Blade 2014"
"Blade","2014","scooter","2014-11-03 04:04:40","699.99","76018.91400000002","Blade 2014"
"Blade","2014","scooter","2014-11-04 03:46:48","629.991","76648.90500000001","Blade 2014"
"Blade","2014","scooter","2014-11-05 01:20:46","699.99","77348.89500000002","Blade 2014"
"Blade","2014","scooter","2014-11-05 09:46:15","699.99","78048.88500000002","Blade 2014"
"Blade","2014","scooter","2014-11-06 03:13:39","629.991","78678.87600000002","Blade 2014"
"Blade","2014","scooter","2014-11-07 15:34:28","699.99","79378.86600000002","Blade 2014"
"Blade","2014","scooter","2014-11-08 08:00:55","699.99","80078.85600000003","Blade 2014"
"Blade","2014","scooter","2014-11-08 11:05:12","629.991","80708.84700000002","Blade 2014"
"Blade","2014","scooter","2014-11-09 14:29:57","699.99","81408.83700000003","Blade 2014"
"Blade","2014","scooter","2014-11-09 22:54:35","629.991","82038.82800000002","Blade 2014"
"Blade","2014","scooter","2014-11-11 04:09:56","699.99","82738.81800000003","Blade 2014"
"Blade","2014","scooter","2014-11-11 13:30:59","699.99","83438.80800000003","Blade 2014"
"Blade","2014","scooter","2014-11-11 18:31:19","699.99","84138.79800000004","Blade 2014"
"Blade","2014","scooter","2014-11-13 01:16:35","559.9920000000001","84698.79000000004","Blade 2014"
"Blade","2014","scooter","2014-11-13 10:38:11","699.99","85398.78000000004","Blade 2014"
"Blade","2014","scooter","2014-11-13 21:14:20","699.99","86098.77000000005","Blade 2014"
"Blade","2014","scooter","2014-11-15 08:42:43","699.99","86798.76000000005","Blade 2014"
"Blade","2014","scooter","2014-11-15 16:38:04","559.9920000000001","87358.75200000005","Blade 2014"
"Blade","2014","scooter","2014-11-15 21:38:57","629.991","87988.74300000005","Blade 2014"
"Blade","2014","scooter","2014-11-18 02:47:26","699.99","88688.73300000005","Blade 2014"
"Blade","2014","scooter","2014-11-18 07:22:26","699.99","89388.72300000006","Blade 2014"
"Blade","2014","scooter","2014-11-19 03:11:21","699.99","90088.71300000006","Blade 2014"
"Blade","2014","scooter","2014-11-19 22:05:08","699.99","90788.70300000007","Blade 2014"
"Blade","2014","scooter","2014-11-20 10:01:44","559.9920000000001","91348.69500000007","Blade 2014"
"Blade","2014","scooter","2014-11-20 19:04:17","699.99","92048.68500000007","Blade 2014"
"Blade","2014","scooter","2014-11-21 19:23:57","699.99","92748.67500000008","Blade 2014"
"Blade","2014","scooter","2014-11-22 23:52:19","699.99","93448.66500000008","Blade 2014"
"Blade","2014","scooter","2014-11-23 11:17:52","699.99","94148.65500000009","Blade 2014"
"Blade","2014","scooter","2014-11-25 16:43:14","559.9920000000001","94708.64700000008","Blade 2014"
"Blade","2014","scooter","2014-11-26 16:12:15","699.99","95408.63700000009","Blade 2014"
"Blade","2014","scooter","2014-11-27 02:25:24","699.99","96108.6270000001","Blade 2014"
"Blade","2014","scooter","2014-11-27 06:26:59","699.99","96808.6170000001","Blade 2014"
"Blade","2014","scooter","2014-11-28 06:12:48","699.99","97508.6070000001","Blade 2014"
"Blade","2014","scooter","2014-11-28 10:56:13","699.99","98208.59700000011","Blade 2014"
"Blade","2014","scooter","2014-12-01 01:05:32","699.99","98908.58700000012","Blade 2014"
"Blade","2014","scooter","2014-12-01 11:57:51","699.99","99608.57700000012","Blade 2014"
"Blade","2014","scooter","2014-12-01 13:45:02","699.99","100308.56700000013","Blade 2014"
"Blade","2014","scooter","2014-12-01 18:01:03","699.99","101008.55700000013","Blade 2014"
"Blade","2014","scooter","2014-12-01 18:17:57","699.99","101708.54700000014","Blade 2014"
"Blade","2014","scooter","2014-12-05 09:34:46","699.99","102408.53700000014","Blade 2014"
"Blade","2014","scooter","2014-12-05 10:52:54","699.99","103108.52700000015","Blade 2014"
"Blade","2014","scooter","2014-12-06 18:23:19","699.99","103808.51700000015","Blade 2014"
"Blade","2014","scooter","2014-12-07 03:55:22","629.991","104438.50800000015","Blade 2014"
"Blade","2014","scooter","2014-12-07 13:43:28","699.99","105138.49800000015","Blade 2014"
"Blade","2014","scooter","2014-12-07 17:50:02","699.99","105838.48800000016","Blade 2014"
"Blade","2014","scooter","2014-12-08 00:46:01","699.99","106538.47800000016","Blade 2014"
"Blade","2014","scooter","2014-12-10 05:47:19","699.99","107238.46800000017","Blade 2014"
"Blade","2014","scooter","2014-12-12 08:11:14","699.99","107938.45800000017","Blade 2014"
"Blade","2014","scooter","2014-12-17 05:37:53","699.99","108638.44800000018","Blade 2014"
"Blade","2014","scooter","2014-12-18 07:11:56","559.9920000000001","109198.44000000018","Blade 2014"
"Blade","2014","scooter","2014-12-18 17:10:31","559.9920000000001","109758.43200000018","Blade 2014"
"Blade","2014","scooter","2014-12-18 20:04:04","699.99","110458.42200000018","Blade 2014"
"Blade","2014","scooter","2014-12-19 11:31:36","699.99","111158.41200000019","Blade 2014"
"Blade","2014","scooter","2014-12-20 06:55:27","699.99","111858.40200000019","Blade 2014"
"Blade","2014","scooter","2014-12-21 19:25:37","699.99","112558.3920000002","Blade 2014"
"Blade","2014","scooter","2014-12-22 13:45:40","699.99","113258.3820000002","Blade 2014"
"Blade","2014","scooter","2014-12-23 13:15:07","699.99","113958.3720000002","Blade 2014"
"Blade","2014","scooter","2014-12-23 22:37:39","699.99","114658.36200000021","Blade 2014"
"Blade","2014","scooter","2014-12-24 03:26:28","699.99","115358.35200000022","Blade 2014"
"Blade","2014","scooter","2014-12-25 20:14:56","559.9920000000001","115918.34400000022","Blade 2014"
"Blade","2014","scooter","2014-12-26 06:41:36","699.99","116618.33400000022","Blade 2014"
"Blade","2014","scooter","2014-12-26 14:15:20","629.991","117248.32500000022","Blade 2014"
"Blade","2014","scooter","2014-12-28 03:17:26","699.99","117948.31500000022","Blade 2014"
"Blade","2014","scooter","2014-12-28 09:36:37","699.99","118648.30500000023","Blade 2014"
"Blade","2014","scooter","2014-12-29 22:39:06","699.99","119348.29500000023","Blade 2014"
"Blade","2014","scooter","2014-12-30 17:53:56","559.9920000000001","119908.28700000023","Blade 2014"
"Blade","2014","scooter","2014-12-31 04:26:08","559.9920000000001","120468.27900000023","Blade 2014"
"Blade","2014","scooter","2014-12-31 13:15:46","559.9920000000001","121028.27100000023","Blade 2014"
"Blade","2014","scooter","2015-01-01 12:07:22","699.99","121728.26100000023","Blade 2014"
"Blade","2014","scooter","2015-01-02 09:43:39","629.991","122358.25200000023","Blade 2014"
"Blade","2014","scooter","2015-01-02 14:17:40","699.99","123058.24200000023","Blade 2014"
"Blade","2014","scooter","2015-01-03 06:14:48","699.99","123758.23200000024","Blade 2014"
"Blade","2014","scooter","2015-01-03 07:58:52","699.99","124458.22200000024","Blade 2014"
"Blade","2014","scooter","2015-01-04 04:23:49","629.991","125088.21300000024","Blade 2014"
"Blade","2014","scooter","2015-01-05 12:18:13","629.991","125718.20400000023","Blade 2014"
"Blade","2014","scooter","2015-01-06 22:05:21","559.9920000000001","126278.19600000023","Blade 2014"
"Blade","2014","scooter","2015-01-08 23:37:58","699.99","126978.18600000023","Blade 2014"
"Blade","2014","scooter","2015-01-09 15:22:20","699.99","127678.17600000024","Blade 2014"
"Blade","2014","scooter","2015-01-10 08:00:19","629.991","128308.16700000023","Blade 2014"
"Blade","2014","scooter","2015-01-11 21:49:33","629.991","128938.15800000023","Blade 2014"
"Blade","2014","scooter","2015-01-12 17:32:44","699.99","129638.14800000023","Blade 2014"
"Blade","2014","scooter","2015-01-13 09:50:48","559.9920000000001","130198.14000000023","Blade 2014"
"Blade","2014","scooter","2015-01-14 20:55:52","699.99","130898.13000000024","Blade 2014"
"Blade","2014","scooter","2015-01-15 05:18:20","699.99","131598.12000000023","Blade 2014"
"Blade","2014","scooter","2015-01-15 11:29:16","699.99","132298.11000000022","Blade 2014"
"Blade","2014","scooter","2015-01-17 14:26:56","699.99","132998.1000000002","Blade 2014"
"Blade","2014","scooter","2015-01-18 01:31:36","629.991","133628.09100000022","Blade 2014"
"Blade","2014","scooter","2015-01-18 01:47:30","699.99","134328.0810000002","Blade 2014"
"Blade","2014","scooter","2015-01-18 16:22:46","699.99","135028.0710000002","Blade 2014"
"Blade","2014","scooter","2015-01-19 06:52:55","699.99","135728.0610000002","Blade 2014"
"Blade","2014","scooter","2015-01-20 05:17:38","629.991","136358.0520000002","Blade 2014"
"Blade","2014","scooter","2015-01-21 18:07:21","699.99","137058.0420000002","Blade 2014"
"Blade","2014","scooter","2015-01-22 02:35:43","699.99","137758.03200000018","Blade 2014"
"Blade","2014","scooter","2015-01-22 19:59:26","629.991","138388.0230000002","Blade 2014"
"Blade","2014","scooter","2015-01-23 14:34:56","559.9920000000001","138948.0150000002","Blade 2014"
"Blade","2014","scooter","2015-01-25 01:36:16","559.9920000000001","139508.0070000002","Blade 2014"
"Blade","2014","scooter","2015-01-25 06:04:13","699.99","140207.99700000018","Blade 2014"
"Blade","2014","scooter","2015-01-26 01:09:39","629.991","140837.9880000002","Blade 2014"
"Lemon","2013","scooter","2014-06-02 12:23:01","499.99","499.99","Lemon 2013"
"Lemon","2013","scooter","2014-06-02 13:45:28","499.99","999.98","Lemon 2013"
"Lemon","2013","scooter","2014-06-04 00:20:11","499.99","1499.97","Lemon 2013"
"Lemon","2013","scooter","2014-06-06 14:36:38","499.99","1999.96","Lemon 2013"
"Lemon","2013","scooter","2014-06-06 16:49:51","449.99100000000004","2449.951","Lemon 2013"
"Lemon","2013","scooter","2014-06-07 07:20:52","499.99","2949.941","Lemon 2013"
"Lemon","2013","scooter","2014-06-08 06:42:50","499.99","3449.9309999999996","Lemon 2013"
"Lemon","2013","scooter","2014-06-09 00:45:41","399.992","3849.923","Lemon 2013"
"Lemon","2013","scooter","2014-06-09 18:53:31","499.99","4349.913","Lemon 2013"
"Lemon","2013","scooter","2014-06-09 22:26:40","499.99","4849.902999999999","Lemon 2013"
"Lemon","2013","scooter","2014-06-10 02:58:12","449.99100000000004","5299.893999999999","Lemon 2013"
"Lemon","2013","scooter","2014-06-13 02:08:56","499.99","5799.883999999999","Lemon 2013"
"Lemon","2013","scooter","2014-06-14 11:38:50","499.99","6299.873999999999","Lemon 2013"
"Lemon","2013","scooter","2014-06-14 14:48:28","499.99","6799.863999999999","Lemon 2013"
"Lemon","2013","scooter","2014-06-15 02:08:31","399.992","7199.855999999999","Lemon 2013"
"Lemon","2013","scooter","2014-06-15 20:18:28","449.99100000000004","7649.846999999999","Lemon 2013"
"Lemon","2013","scooter","2014-06-16 00:23:26","499.99","8149.836999999999","Lemon 2013"
"Lemon","2013","scooter","2014-06-18 11:45:03","399.992","8549.828999999998","Lemon 2013"
"Lemon","2013","scooter","2014-06-19 14:44:17","399.992","8949.820999999998","Lemon 2013"
"Lemon","2013","scooter","2014-06-19 16:36:09","499.99","9449.810999999998","Lemon 2013"
"Lemon","2013","scooter","2014-06-20 10:24:51","499.99","9949.800999999998","Lemon 2013"
"Lemon","2013","scooter","2014-06-21 21:48:11","499.99","10449.790999999997","Lemon 2013"
"Lemon","2013","scooter","2014-06-21 21:55:51","499.99","10949.780999999997","Lemon 2013"
"Lemon","2013","scooter","2014-06-22 18:04:42","499.99","11449.770999999997","Lemon 2013"
"Lemon","2013","scooter","2014-06-23 18:00:36","499.99","11949.760999999997","Lemon 2013"
"Lemon","2013","scooter","2014-06-23 18:26:27","449.99100000000004","12399.751999999997","Lemon 2013"
"Lemon","2013","scooter","2014-06-24 00:03:47","399.992","12799.743999999997","Lemon 2013"
"Lemon","2013","scooter","2014-06-26 09:26:25","499.99","13299.733999999997","Lemon 2013"
"Lemon","2013","scooter","2014-07-01 22:41:04","499.99","13799.723999999997","Lemon 2013"
"Lemon","2013","scooter","2014-07-04 23:48:26","499.99","14299.713999999996","Lemon 2013"
"Lemon","2013","scooter","2014-07-06 02:25:49","499.99","14799.703999999996","Lemon 2013"
"Lemon","2013","scooter","2014-07-06 05:02:44","399.992","15199.695999999996","Lemon 2013"
"Lemon","2013","scooter","2014-07-09 04:30:24","399.992","15599.687999999996","Lemon 2013"
"Lemon","2013","scooter","2014-07-11 05:51:34","499.99","16099.677999999996","Lemon 2013"
"Lemon","2013","scooter","2014-07-11 15:23:27","499.99","16599.667999999998","Lemon 2013"
"Lemon","2013","scooter","2014-07-11 21:32:52","449.99100000000004","17049.659","Lemon 2013"
"Lemon","2013","scooter","2014-07-14 07:35:47","499.99","17549.649","Lemon 2013"
"Lemon","2013","scooter","2014-07-15 17:33:23","449.99100000000004","17999.640000000003","Lemon 2013"
"Lemon","2013","scooter","2014-07-16 17:20:36","449.99100000000004","18449.631000000005","Lemon 2013"
"Lemon","2013","scooter","2014-07-16 21:12:35","499.99","18949.621000000006","Lemon 2013"
"Lemon","2013","scooter","2014-07-16 22:04:07","449.99100000000004","19399.61200000001","Lemon 2013"
"Lemon","2013","scooter","2014-07-21 21:43:34","449.99100000000004","19849.60300000001","Lemon 2013"
"Lemon","2013","scooter","2014-07-22 19:56:08","449.99100000000004","20299.594000000012","Lemon 2013"
"Lemon","2013","scooter","2014-07-25 10:04:44","499.99","20799.584000000013","Lemon 2013"
"Lemon","2013","scooter","2014-07-27 07:54:15","449.99100000000004","21249.575000000015","Lemon 2013"
"Lemon","2013","scooter","2014-07-27 13:44:17","499.99","21749.565000000017","Lemon 2013"
"Lemon","2013","scooter","2014-07-30 16:19:24","499.99","22249.55500000002","Lemon 2013"
"Lemon","2013","scooter","2014-08-01 14:47:28","499.99","22749.54500000002","Lemon 2013"
"Lemon","2013","scooter","2014-08-01 18:11:11","499.99","23249.53500000002","Lemon 2013"
"Lemon","2013","scooter","2014-08-03 15:13:08","499.99","23749.525000000023","Lemon 2013"
"Lemon","2013","scooter","2014-08-03 19:41:12","399.992","24149.51700000002","Lemon 2013"
"Lemon","2013","scooter","2014-08-04 23:04:29","499.99","24649.507000000023","Lemon 2013"
"Lemon","2013","scooter","2014-08-04 23:38:18","499.99","25149.497000000025","Lemon 2013"
"Lemon","2013","scooter","2014-08-06 13:29:07","499.99","25649.487000000026","Lemon 2013"
"Lemon","2013","scooter","2014-08-07 14:49:55","499.99","26149.477000000028","Lemon 2013"
"Lemon","2013","scooter","2014-08-08 02:55:15","499.99","26649.46700000003","Lemon 2013"
"Lemon","2013","scooter","2014-08-09 06:15:33","449.99100000000004","27099.45800000003","Lemon 2013"
"Lemon","2013","scooter","2014-08-09 08:29:44","399.992","27499.45000000003","Lemon 2013"
"Lemon","2013","scooter","2014-08-10 11:25:53","499.99","27999.44000000003","Lemon 2013"
"Lemon","2013","scooter","2014-08-13 10:48:56","499.99","28499.430000000033","Lemon 2013"
"Lemon","2013","scooter","2014-08-13 17:44:24","449.99100000000004","28949.421000000035","Lemon 2013"
"Lemon","2013","scooter","2014-08-13 18:29:47","499.99","29449.411000000036","Lemon 2013"
"Lemon","2013","scooter","2014-08-15 00:19:44","399.992","29849.403000000035","Lemon 2013"
"Lemon","2013","scooter","2014-08-16 16:31:38","499.99","30349.393000000036","Lemon 2013"
"Lemon","2013","scooter","2014-08-17 14:14:58","499.99","30849.383000000038","Lemon 2013"
"Lemon","2013","scooter","2014-08-17 15:36:57","399.992","31249.375000000036","Lemon 2013"
"Lemon","2013","scooter","2014-08-20 23:07:44","499.99","31749.365000000038","Lemon 2013"
"Lemon","2013","scooter","2014-08-23 05:12:49","499.99","32249.35500000004","Lemon 2013"
"Lemon","2013","scooter","2014-08-24 04:06:16","499.99","32749.34500000004","Lemon 2013"
"Lemon","2013","scooter","2014-08-24 17:07:10","449.99100000000004","33199.33600000004","Lemon 2013"
"Lemon","2013","scooter","2014-08-27 04:34:03","399.992","33599.32800000004","Lemon 2013"
"Lemon","2013","scooter","2014-08-27 06:20:44","499.99","34099.318000000036","Lemon 2013"
"Lemon","2013","scooter","2014-08-27 18:50:50","499.99","34599.308000000034","Lemon 2013"
"Lemon","2013","scooter","2014-08-28 04:24:28","499.99","35099.29800000003","Lemon 2013"
"Lemon","2013","scooter","2014-08-29 14:50:55","499.99","35599.28800000003","Lemon 2013"
"Lemon","2013","scooter","2014-08-30 03:41:31","499.99","36099.27800000003","Lemon 2013"
"Lemon","2013","scooter","2014-08-30 21:25:43","449.99100000000004","36549.26900000003","Lemon 2013"
"Lemon","2013","scooter","2014-08-31 02:43:41","499.99","37049.25900000003","Lemon 2013"
"Lemon","2013","scooter","2014-08-31 02:50:30","449.99100000000004","37499.25000000003","Lemon 2013"
"Lemon","2013","scooter","2014-08-31 05:11:57","499.99","37999.24000000003","Lemon 2013"
"Lemon","2013","scooter","2014-09-01 21:43:10","499.99","38499.230000000025","Lemon 2013"
"Lemon","2013","scooter","2014-09-01 23:54:52","499.99","38999.22000000002","Lemon 2013"
"Lemon","2013","scooter","2014-09-03 04:16:15","399.992","39399.21200000002","Lemon 2013"
"Lemon","2013","scooter","2014-09-03 22:32:17","499.99","39899.20200000002","Lemon 2013"
"Lemon","2013","scooter","2014-09-06 06:56:10","499.99","40399.19200000002","Lemon 2013"
"Lemon","2013","scooter","2014-09-08 20:34:49","449.99100000000004","40849.18300000002","Lemon 2013"
"Lemon","2013","scooter","2014-09-10 03:42:01","499.99","41349.17300000002","Lemon 2013"
"Lemon","2013","scooter","2014-09-10 04:26:36","499.99","41849.163000000015","Lemon 2013"
"Lemon","2013","scooter","2014-09-10 21:19:47","499.99","42349.15300000001","Lemon 2013"
"Lemon","2013","scooter","2014-09-12 03:50:56","499.99","42849.14300000001","Lemon 2013"
