"product_id","channel","sales_amount","price_category","transaction_year","sales_transaction_date"
"4","internet","115000","Premium","2017","2017-08-18 15:09:36"
"4","dealership","115000","Premium","2018","2018-09-19 03:20:48"
"6","internet","65500","Premium","2018","2018-07-27 22:25:10"
"4","internet","115000","Premium","2017","2017-05-15 10:12:40"
"9","dealership","31500","Standard","2018","2018-12-16 09:51:39"
"9","internet","28000","Standard","2019","2019-02-01 06:16:44"
"6","internet","52400","Premium","2017","2017-06-06 09:56:40"
"10","dealership","85750","Premium","2017","2017-03-13 02:38:11"
"10","internet","85750","Premium","2019","2019-02-03 00:34:59"
"4","internet","115000","Premium","2018","2018-06-03 00:03:45"
"10","internet","85750","Premium","2018","2018-06-20 23:41:36"
"10","internet","85750","Premium","2019","2019-03-29 14:33:55"
"11","internet","85500","Premium","2019","2019-04-26 14:52:50"
"6","dealership","58950","Premium","2018","2018-09-21 07:04:18"
"9","dealership","35000","Standard","2018","2018-06-16 02:44:20"
"6","dealership","58950","Premium","2018","2018-05-20 17:27:10"
"9","internet","35000","Standard","2018","2018-04-28 15:46:50"
"10","dealership","85750","Premium","2019","2019-05-07 15:21:05"
"9","internet","35000","Standard","2018","2018-01-14 02:09:35"
"10","internet","85750","Premium","2018","2018-04-27 04:35:07"
"4","dealership","103500","Premium","2018","2018-07-03 08:21:02"
"10","internet","77175","Premium","2018","2018-05-16 07:13:06"
"6","internet","65500","Premium","2017","2017-05-01 20:10:21"
"4","internet","103500","Premium","2017","2017-05-30 15:25:15"
"10","internet","85750","Premium","2018","2018-01-31 00:21:06"
"6","dealership","65500","Premium","2018","2018-08-17 12:41:41"
"9","internet","35000","Standard","2019","2019-04-16 19:04:02"
"9","dealership","31500","Standard","2019","2019-01-29 23:14:09"
"9","internet","31500","Standard","2018","2018-12-25 20:35:42"
"10","internet","85750","Premium","2018","2018-09-27 16:12:50"
"4","dealership","115000","Premium","2018","2018-06-23 21:36:52"
"9","dealership","35000","Standard","2019","2019-04-26 12:22:22"
"9","dealership","35000","Standard","2018","2018-12-27 17:58:44"
"9","internet","35000","Standard","2017","2017-08-18 03:05:04"
"9","internet","35000","Standard","2018","2018-05-24 16:38:59"
"4","internet","103500","Premium","2017","2017-10-20 07:12:01"
"6","internet","65500","Premium","2017","2017-07-11 18:33:24"
"11","internet","95000","Premium","2019","2019-04-10 22:48:52"
"6","dealership","65500","Premium","2017","2017-04-07 00:01:50"
"9","internet","28000","Standard","2018","2018-03-11 01:06:18"
"6","internet","58950","Premium","2018","2018-01-26 02:57:35"
"9","internet","35000","Standard","2019","2019-01-09 06:16:03"
"10","dealership","77175","Premium","2017","2017-11-30 04:02:18"
"6","dealership","65500","Premium","2017","2017-05-07 14:47:14"
"10","internet","68600","Premium","2017","2017-04-05 23:02:38"
"10","internet","77175","Premium","2018","2018-12-13 11:00:40"
"4","dealership","103500","Premium","2018","2018-05-10 22:31:55"
"4","internet","115000","Premium","2018","2018-05-17 04:04:58"
"9","internet","35000","Standard","2017","2017-04-05 19:17:58"
"10","internet","85750","Premium","2018","2018-06-18 09:03:12"
"9","dealership","35000","Standard","2019","2019-02-08 21:37:09"
"11","dealership","95000","Premium","2019","2019-03-12 12:04:25"
"9","dealership","35000","Standard","2018","2018-01-22 23:01:19"
"10","dealership","77175","Premium","2019","2019-02-27 01:48:11"
"10","dealership","77175","Premium","2019","2019-01-16 07:29:09"
"10","dealership","85750","Premium","2018","2018-08-09 18:21:36"
"11","internet","85500","Premium","2019","2019-04-30 22:25:14"
"10","dealership","77175","Premium","2018","2018-10-09 20:12:17"
"9","internet","35000","Standard","2019","2019-02-15 07:16:48"
"4","dealership","92000","Premium","2017","2017-09-28 07:24:39"
"6","internet","65500","Premium","2017","2017-06-24 20:13:27"
"6","dealership","52400","Premium","2017","2017-03-12 05:52:42"
"9","internet","31500","Standard","2017","2017-09-02 16:31:21"
"4","internet","103500","Premium","2017","2017-03-17 14:41:44"
"4","dealership","115000","Premium","2018","2018-09-25 16:16:05"
"9","dealership","31500","Standard","2017","2017-06-15 03:07:52"
"6","internet","52400","Premium","2018","2018-04-20 10:19:10"
"10","dealership","68600","Premium","2018","2018-08-02 13:36:53"
"10","dealership","77175","Premium","2018","2018-04-05 02:56:43"
"9","dealership","35000","Standard","2017","2017-10-24 09:46:37"
"4","dealership","115000","Premium","2017","2017-01-18 04:17:01"
"10","internet","77175","Premium","2017","2017-07-28 00:54:24"
"4","dealership","115000","Premium","2018","2018-11-20 10:28:22"
"10","dealership","68600","Premium","2017","2017-10-19 05:00:58"
"9","dealership","35000","Standard","2018","2018-09-23 16:26:03"
"4","internet","115000","Premium","2018","2018-07-11 10:15:13"
"9","dealership","35000","Standard","2017","2017-11-09 00:42:19"
"4","dealership","103500","Premium","2017","2017-08-10 00:10:36"
"10","internet","68600","Premium","2017","2017-03-02 18:33:23"
"6","dealership","65500","Premium","2018","2018-06-09 03:21:55"
"9","internet","35000","Standard","2018","2018-09-17 03:19:52"
"4","dealership","103500","Premium","2017","2017-09-24 17:41:42"
"10","internet","68600","Premium","2019","2019-02-20 01:16:55"
"10","dealership","77175","Premium","2018","2018-03-05 13:59:04"
"10","internet","85750","Premium","2018","2018-09-22 01:24:45"
"9","internet","35000","Standard","2019","2019-05-22 06:54:53"
"6","internet","65500","Premium","2017","2017-12-24 12:11:32"
"11","dealership","95000","Premium","2019","2019-04-23 13:43:31"
"10","internet","77175","Premium","2019","2019-03-09 13:35:52"
"9","internet","35000","Standard","2018","2018-04-19 21:28:33"
"10","dealership","77175","Premium","2017","2017-08-19 08:08:30"
"6","internet","65500","Premium","2018","2018-08-11 00:50:03"
"9","internet","35000","Standard","2017","2017-05-25 08:17:10"
"11","dealership","95000","Premium","2019","2019-04-27 22:29:56"
"6","internet","65500","Premium","2018","2018-06-15 06:28:08"
"9","dealership","35000","Standard","2017","2017-02-28 00:32:05"
"4","internet","115000","Premium","2017","2017-06-11 20:22:05"
"4","dealership","115000","Premium","2018","2018-09-27 16:38:18"
"10","dealership","85750","Premium","2017","2017-09-13 16:05:38"
"9","dealership","28000","Standard","2018","2018-09-03 10:03:17"
"10","internet","85750","Premium","2018","2018-08-14 09:07:02"
"4","internet","103500","Premium","2017","2017-10-17 18:34:49"
"9","internet","28000","Standard","2018","2018-07-20 00:53:47"
"6","internet","65500","Premium","2018","2018-07-31 05:12:21"
"10","dealership","77175","Premium","2017","2017-07-02 22:03:44"
"10","internet","68600","Premium","2017","2017-04-30 09:41:47"
"10","dealership","85750","Premium","2019","2019-03-13 01:28:32"
"4","internet","115000","Premium","2017","2017-12-07 10:40:56"
"11","dealership","95000","Premium","2019","2019-03-25 11:02:22"
"10","internet","85750","Premium","2018","2018-11-24 19:13:17"
"6","internet","58950","Premium","2017","2017-04-10 09:37:53"
"9","dealership","35000","Standard","2017","2017-05-02 09:20:32"
"6","dealership","58950","Premium","2017","2017-06-25 18:58:09"
"4","dealership","115000","Premium","2017","2017-11-14 10:29:47"
"4","dealership","103500","Premium","2018","2018-06-25 00:37:31"
"9","dealership","28000","Standard","2018","2018-03-13 04:57:42"
"6","dealership","65500","Premium","2017","2017-01-24 13:00:47"
"10","dealership","85750","Premium","2019","2019-02-24 19:43:54"
"9","internet","35000","Standard","2018","2018-05-18 23:58:12"
"6","dealership","52400","Premium","2018","2018-03-10 14:10:33"
"4","internet","115000","Premium","2017","2017-01-07 14:54:20"
"11","dealership","95000","Premium","2019","2019-04-13 05:52:48"
"10","dealership","85750","Premium","2017","2017-08-22 01:43:14"
"6","internet","65500","Premium","2017","2017-06-09 09:52:10"
"9","dealership","35000","Standard","2018","2018-06-14 07:08:59"
"6","internet","65500","Premium","2018","2018-01-15 09:24:19"
"6","dealership","65500","Premium","2017","2017-12-09 12:32:56"
"9","internet","31500","Standard","2017","2017-11-27 17:57:55"
"9","internet","28000","Standard","2017","2017-12-15 02:19:17"
"6","internet","58950","Premium","2018","2018-05-21 03:44:56"
"9","internet","35000","Standard","2018","2018-08-13 18:28:23"
"9","internet","35000","Standard","2018","2018-04-16 13:54:37"
"9","dealership","35000","Standard","2017","2017-05-26 17:22:53"
"6","dealership","65500","Premium","2018","2018-06-08 04:43:52"
"10","dealership","85750","Premium","2019","2019-02-22 12:56:08"
"4","internet","115000","Premium","2018","2018-05-21 21:56:50"
"9","internet","28000","Standard","2018","2018-09-28 19:03:29"
"10","dealership","85750","Premium","2017","2017-05-13 02:57:37"
"9","dealership","35000","Standard","2017","2017-06-05 05:08:32"
"9","internet","35000","Standard","2018","2018-12-29 18:15:37"
"10","internet","68600","Premium","2018","2018-08-06 12:41:32"
"9","internet","31500","Standard","2017","2017-05-30 16:55:54"
"4","internet","115000","Premium","2017","2017-04-14 13:00:14"
"6","internet","65500","Premium","2017","2017-03-12 12:39:42"
"4","dealership","92000","Premium","2018","2018-12-21 10:07:02"
"10","dealership","77175","Premium","2019","2019-02-23 22:32:36"
"10","internet","85750","Premium","2018","2018-02-08 04:02:56"
"4","dealership","115000","Premium","2018","2018-07-19 06:14:01"
"9","internet","35000","Standard","2018","2018-11-22 06:48:54"
"4","dealership","115000","Premium","2018","2018-09-24 16:54:35"
"11","dealership","85500","Premium","2019","2019-05-30 08:05:15"
"9","internet","31500","Standard","2018","2018-09-27 06:16:20"
"9","dealership","35000","Standard","2017","2017-06-13 17:47:10"
"10","internet","85750","Premium","2019","2019-05-08 16:13:41"
"9","dealership","35000","Standard","2018","2018-07-08 15:24:58"
"4","internet","103500","Premium","2018","2018-03-10 05:06:34"
"9","dealership","35000","Standard","2018","2018-11-04 09:45:20"
"10","dealership","85750","Premium","2018","2018-10-01 18:17:17"
"10","internet","85750","Premium","2018","2018-04-28 23:52:03"
"10","internet","68600","Premium","2017","2017-09-13 13:28:21"
"9","dealership","35000","Standard","2018","2018-07-30 20:52:01"
"6","dealership","65500","Premium","2018","2018-03-01 00:01:10"
"9","internet","35000","Standard","2018","2018-09-18 08:10:11"
"10","dealership","85750","Premium","2017","2017-09-23 18:13:31"
"4","dealership","115000","Premium","2017","2017-09-03 14:10:27"
"4","dealership","115000","Premium","2018","2018-05-03 00:19:30"
"9","dealership","35000","Standard","2017","2017-10-21 17:40:14"
"6","internet","52400","Premium","2018","2018-02-17 03:16:42"
"4","internet","115000","Premium","2018","2018-03-13 13:04:16"
"6","internet","65500","Premium","2018","2018-06-16 05:09:17"
"9","dealership","28000","Standard","2018","2018-04-16 21:41:56"
"10","dealership","68600","Premium","2017","2017-06-30 15:04:27"
"9","dealership","31500","Standard","2018","2018-08-10 06:11:59"
"10","dealership","68600","Premium","2017","2017-05-02 14:05:45"
"6","internet","65500","Premium","2018","2018-04-15 15:19:32"
"9","internet","28000","Standard","2018","2018-07-07 18:37:58"
"9","internet","35000","Standard","2018","2018-07-12 02:22:13"
"9","dealership","35000","Standard","2019","2019-03-20 14:33:15"
"10","dealership","68600","Premium","2018","2018-07-07 19:15:23"
"10","dealership","85750","Premium","2017","2017-10-13 14:37:37"
"10","internet","68600","Premium","2018","2018-08-22 16:47:18"
"9","dealership","31500","Standard","2019","2019-04-15 04:32:20"
"6","internet","65500","Premium","2017","2017-10-13 20:19:35"
"6","internet","58950","Premium","2017","2017-07-08 20:42:39"
"6","internet","65500","Premium","2017","2017-09-20 16:15:11"
"9","dealership","35000","Standard","2019","2019-02-11 07:48:52"
"10","internet","68600","Premium","2019","2019-01-18 22:25:46"
"10","dealership","68600","Premium","2017","2017-12-18 18:26:49"
"6","internet","58950","Premium","2017","2017-03-05 14:26:47"
"10","dealership","85750","Premium","2017","2017-05-25 04:03:04"
"10","dealership","85750","Premium","2017","2017-05-19 14:10:07"
"6","dealership","65500","Premium","2018","2018-07-04 18:44:58"
"9","dealership","35000","Standard","2019","2019-02-19 05:44:22"
"6","internet","65500","Premium","2018","2018-06-09 16:21:30"
"10","dealership","68600","Premium","2017","2017-09-09 14:38:18"
"10","dealership","68600","Premium","2018","2018-12-28 17:55:09"
"9","dealership","35000","Standard","2017","2017-02-15 06:03:46"
"10","internet","85750","Premium","2018","2018-10-06 06:25:43"
"6","dealership","65500","Premium","2018","2018-07-09 23:35:10"
"4","dealership","115000","Premium","2017","2017-03-01 23:43:54"
"9","internet","35000","Standard","2017","2017-03-23 01:35:20"
"6","dealership","65500","Premium","2018","2018-04-05 14:45:04"
"10","dealership","85750","Premium","2018","2018-09-12 14:38:26"
"10","internet","85750","Premium","2019","2019-04-14 11:41:17"
"9","dealership","35000","Standard","2018","2018-07-31 22:33:44"
"11","internet","95000","Premium","2019","2019-03-08 06:59:11"
"4","internet","115000","Premium","2018","2018-03-27 10:38:43"
"10","dealership","77175","Premium","2017","2017-06-24 13:36:17"
"11","internet","85500","Premium","2019","2019-05-15 18:34:24"
"9","dealership","35000","Standard","2018","2018-08-20 00:34:05"
"9","dealership","31500","Standard","2019","2019-05-08 05:21:28"
"10","internet","85750","Premium","2018","2018-04-15 22:24:46"
"10","dealership","85750","Premium","2019","2019-01-17 22:04:34"
"6","internet","65500","Premium","2018","2018-08-19 23:56:41"
"9","dealership","35000","Standard","2018","2018-10-07 05:10:52"
"11","internet","76000","Premium","2019","2019-05-23 01:38:15"
"9","dealership","35000","Standard","2017","2017-11-18 14:42:00"
"9","internet","35000","Standard","2019","2019-05-06 22:17:46"
"4","dealership","115000","Premium","2018","2018-11-04 12:25:23"
"10","dealership","85750","Premium","2017","2017-06-23 02:03:07"
"4","internet","115000","Premium","2018","2018-07-22 19:44:35"
"9","internet","35000","Standard","2017","2017-11-04 13:17:18"
"10","dealership","77175","Premium","2017","2017-09-23 22:59:00"
"9","internet","35000","Standard","2017","2017-04-05 03:05:07"
"9","dealership","35000","Standard","2017","2017-07-21 22:16:21"
"4","internet","92000","Premium","2018","2018-01-27 15:28:39"
"4","dealership","92000","Premium","2018","2018-10-07 08:09:25"
"6","dealership","65500","Premium","2017","2017-06-30 07:59:31"
"10","dealership","85750","Premium","2017","2017-12-11 23:41:16"
"9","dealership","35000","Standard","2019","2019-04-26 03:01:53"
"10","internet","77175","Premium","2018","2018-07-31 00:26:45"
"6","dealership","65500","Premium","2017","2017-08-03 19:47:25"
"4","dealership","115000","Premium","2017","2017-12-11 04:21:08"
"4","internet","103500","Premium","2017","2017-05-13 03:48:14"
"4","internet","92000","Premium","2018","2018-10-13 23:24:53"
"10","dealership","77175","Premium","2019","2019-03-06 23:38:00"
"10","internet","85750","Premium","2017","2017-11-25 12:21:50"
"10","internet","85750","Premium","2017","2017-12-09 01:09:13"
"4","internet","115000","Premium","2017","2017-04-30 12:26:17"
"10","internet","68600","Premium","2017","2017-07-09 07:55:52"
"9","internet","35000","Standard","2017","2017-11-01 08:09:18"
"4","dealership","115000","Premium","2017","2017-08-12 00:54:11"
"9","internet","35000","Standard","2017","2017-07-07 02:26:16"
"6","dealership","65500","Premium","2018","2018-02-07 02:08:23"
"9","internet","31500","Standard","2018","2018-09-16 00:09:21"
"6","dealership","65500","Premium","2017","2017-01-13 22:08:45"
"4","dealership","92000","Premium","2018","2018-11-17 12:50:50"
"9","internet","35000","Standard","2018","2018-08-14 06:11:07"
"9","dealership","35000","Standard","2018","2018-12-03 23:39:44"
"9","dealership","35000","Standard","2017","2017-08-01 16:35:47"
"6","internet","65500","Premium","2018","2018-05-22 00:29:30"
"10","internet","85750","Premium","2017","2017-06-28 22:42:12"
"6","dealership","58950","Premium","2017","2017-04-06 03:37:25"
"11","dealership","76000","Premium","2019","2019-02-10 19:35:36"
"10","internet","77175","Premium","2018","2018-05-15 16:42:57"
"10","internet","85750","Premium","2018","2018-04-29 11:53:05"
"10","dealership","85750","Premium","2018","2018-03-03 14:04:58"
"9","internet","28000","Standard","2017","2017-12-19 14:40:04"
"6","dealership","58950","Premium","2017","2017-11-01 17:43:59"
"4","dealership","115000","Premium","2017","2017-07-10 14:48:20"
"6","dealership","65500","Premium","2017","2017-04-05 10:28:16"
"9","dealership","35000","Standard","2018","2018-09-20 14:45:21"
"10","internet","85750","Premium","2018","2018-04-03 21:38:06"
"4","internet","115000","Premium","2018","2018-09-01 07:45:02"
"9","dealership","31500","Standard","2019","2019-01-03 22:12:18"
"9","internet","35000","Standard","2017","2017-05-24 15:47:24"
"10","dealership","85750","Premium","2018","2018-07-18 16:06:07"
"6","dealership","65500","Premium","2018","2018-06-02 11:33:29"
"10","internet","77175","Premium","2018","2018-12-11 22:09:27"
"9","dealership","35000","Standard","2018","2018-08-21 22:06:41"
"9","internet","35000","Standard","2018","2018-06-05 17:36:59"
"9","internet","35000","Standard","2018","2018-06-28 04:33:20"
"10","internet","85750","Premium","2017","2017-09-23 04:35:05"
